(eemale, ära) ajama	гнать
signaalrakett	сигнальная ракета
signalisatsioon	сигнализация
sihik	прицел
sihikule võtma	навести (орудие)
sihikule võtma	навести(орудие)
sihtima	целиться (в ...)
sihtmärk	цель (при стрельбе)
sihvakas	стройный
sihverplaat	циферблат
siia	сюда
siid	шёлк
siidi-	шёлковый
šiiit	шиит
šiiitlus	Шиизм
siil	ёж
siin	здесь
siiralt	искренне
siiras	искренний
siirup	сироп
siirus	искренность
siis	тогда
siit	отсюда
sild	мост
sile	гладкий
silinder	цилиндр
silitama	гладить (ласкать)
silm	глаз
silma paistma	отличаться (от чего-л.)
silmaarst	окулист
silmad	глаза
silmalaug	веко
silmapiir	горизонт
silmapilk	мгновение
silmapilkselt	мгновенный
silmas pidama	подразумевать
silmatera	зрачок
silp	слог (часть слова)
silt	вывеска
SIM-kaart	SIM-карта
šimpans	шимпанзе
sinep	горчица
Singapur	Сингапур
sinikaelpart	селезень
sinikas	синяк
sinine	синий
sink	ветчина
sink	окорок
sinna	туда
sipelgapesa	муравейник
sipelgas	муравей
sireen	вой сирены
sireen	сирена
sireeni sisse lülitama	включить сирену
sirge	прямой
sirgjoon	прямая (сущ.)
siristama	стрекотать
siristama	чирикать
sirkel	циркуль
sisaldama	включать (о цене)
sisalik	ящерица
sisearst	терапевт
sisemine	внутренний
sisenema	сесть (в автобус и т.п.)
sisetelefon	домофон
sisse	в (предлог движения)
sisse hingama	сделать вдох
sisse kirjutama	вписывать (в список)
sisse lülitama	включать
sisse lülitama	включать (напр. радио)
sisse lülitama	включить
sisse lülitama	включить (приёмник)
sisse lülitama	подключиться
sisse pakkima	заворачивать (в бумагу)
sisse sõitma	врезаться (о машине)
sisse tulema	войти (в комнату и т.п.)
sisse tulema	входить (в комнату и т.п.)
sisse tungima	проникать
sisse vedama	импортировать
sissehingamine	вдох
sissejuhatus	введение
sissepääs	вход
sissepääsuluba	пропуск (документ)
sissesõidu keeld	въезд запрещён
sissevedaja	импортёр
sissevedu	импорт
sissevedu	импортный
sisu	содержание (список)
sisukord	оглавление
sitaseen	поганка
sitikas	жук
situatsioon	ситуация
skaala	шкала
skafander	скафандр
skandaal	скандал
skandaal	скандал (ссора)
skandaali tegema	скандалить
skandaalne	скандальный
skeem	схема (метро и т.п.)
skisofreenia	шизофрения
skleroos	склероз
Skorpion	Скорпион
skulptor	скульптор
skulptuur	скульптура
skumbria	скумбрия
skunk	скунс
slaalom	слалом
slaavlased	славяне
smaragd	изумруд
smoking	смокинг
SMS-sõnum	SMS-сообщение
snaiper	снайпер
sõber	друг
sõber	приятель
sõber olla	дружить
sõbranna	подруга
sõbranna	приятельница
sõda	война
sõda kuulutama	объявить (войну)
sõdima	воевать (вести войну)
sõdur	солдат
soe	тёплый
soe	тёплый (день)
soe	тёплый (день, пища)
soe vesi	горячая вода
soeng	причёска
sõidu keeld	движение запрещено
sõiduplaan	расписание
sõimama	ругать
sõimama	ругаться (на кого-л.)
sõit	поездка
sõitma	ехать
soja	соя
sõjakuulutamine	объявление войны
sõjamees	воин
sõjasaak	добыча
sõjaseisukord	военное положение
sõjaväebaas	военная база
sõjaväelane	военный
sõjaväeline riigipööre	военный переворот
sõjavang	пленный (сущ.)
šokeerima	шокировать
sokid	носки
sokk	козёл
šokk	шок
šokolaad	шоколад
šokolaadi-	шоколадный
soldat	валет
sõlm	узел (завязать ~)
sõltuma	зависеть (от ...)
solvama	обидеть
solvama	оскорблять
solvamine	оскорбление
solvatud	оскорбленный
solvuma	обидеться
solvumine	обида
sompus	пасмурный
sõna	слово
sõna	слово (единица речи)
sõna kuulma	слушаться (совета)
sõna tüvi	корень слова
sõnajalg	папоротник
sõnaraamat	словарь
sõnaühend	словосочетание
sõnavahe	пробел (между словами)
sõnavara	лексика
soni	кепка
sonima	бредить (мед.)
Sõnn	Телец
sõnnik	навоз
sõnum	заметка (в газете)
SOO	болото
soobel	соболь
söödav seen	съедобный гриб
soodustariif	экономичный
söögiisu	аппетит
söögituba	столовая (комната)
soojendama	нагревать
soojendama	разогревать
soojendus	разминка
soojus	тепло (о погоде)
söök	еда
sool	соль
soolama	солить
soolane	солёный
soolatoos	солонка
soolestik	кишечник
soolikas	кишка
sööma	есть, кушать
sööma	кушать, есть
Soome	Финляндия
soome	финский
soomlane	финн
soomlanna	финка
soomus	чешуя
soomuskate	панцирь (черепахи)
sõõrmed	ноздри
sööt	корм
sööt	наживка
söötma	кормить
SOOV	пожелание
soovima	желать
soovima	пожелать
soovitama	рекомендовать
soovitama	советовать
šoppamine	шоппинг
sõprus	дружба
sõrm	палец
sõrmejäljed	отпечатки пальцев
sõrmkindad	перчатки
sõrmus	КОЛЬЦО
sorteerima	сортировать
SOS	SOS
sosin	шёпот
sosistama	шепнуть
sosistama	шептать
šoti	шотландский
Šotimaa	Шотландия
šotlane	шотландец
šotlanna	шотландка
sotsialism	социализм
sotsialistlik	социалистический
sõudmine	гребля
Soul	Сеул
spagetid	спагетти
spetsiaalne	специальный
spidomeeter	спидометр
spikker	шпаргалка
spinat	шпинат
spionaaž	шпионаж
spioon	шпион
spits	шпиц
spordiala	вид спорта
spordiauto	спортивный автомобиль
spordisaal	спортзал
spordisaal	тренажёрный зал
sporditarvete kauplus	спортивный магазин
sportlane	спортсмен
staadion	стадион
staap	штаб
stabiilne	стабильный
stabiilsus	стабильность
standard	стандарт
standardne	стандартный
start	старт
start	старт (ракеты)
stend	выставочный стенд
stepler	степлер
stepp	степь
stiil	стиль
stipendium	стипендия
stjuardess	стюардесса
Stockholm	Стокгольм
stomatoloog	стоматолог
stopp-signaal	стоп-сигнал
strateegia	стратегия
streikija	забастовщик
stress	стресс
stseen	сцена (действие)
stsenaarium	сценарий
stsenarist	сценарист
subtiitrid	субтитры
süda	сердце
südametunnistus	совесть
sügav	глубокий
sügavik	бездна
sügavus	глубина
sügis	осень
sügisel	осенью
sügisene	осенний
sugu	пол (муж. или жен.)
suguharu	племя
sugulane	родственник
sugulased	родные (родственники)
sugupuu	родословная (собаки)
suhkrutoos	сахарница
suhkur	сахар
suhtlema	общаться
suhtlemine	общение
suits	дым
suitsetaja	курильщик
suitsetama	курить
suitsetama hakkama	прикурить
suitsetamine	курение
suitsupääsuke	ласточка
suitsupakk	пачка (сигарет)
suitsutatud	копчёный
sukad	чулки
sukelduja	ныряльщик
sukelduma	нырять
sukkpüksid	КОЛГОТКИ
sulam	сплав
sülearvuti	ноутбук
sulejope	пуховик
sulepea	перьевая ручка
sulepea	ручка
sulestik	оперение
sulg	перо (птицы)
sulgema	закрывать
sulgema	закрыть
sulgpall	бадминтон
sulgudes	в скобках
suli	шулер
sülitama	плевать
sulud	скобки
sümfoonia	симфония
summa Kui palju?	сумма Сколько? (о деньгах)
summutaja	глушитель
sümptom	СИМПТОМ
sünagoog	синагога
sündima	родиться
sündmus	событие
sündmuspaik	место преступления
sünge	мрачный (тёмный)
sünniaeg	дата рождения
sunniit	суннит
sünnikoht	место рождения
sünnimärk	родинка
sunnism	Суннизм
sünnitama	рожать
sünnitus	роды
sünonüüm	синоним
süntees	синтез
supermarket	супермаркет
supikulp	половник
supilusikas	столовая ложка
suplema	купаться
suplema	купаться (в море и т.п.)
supp	суп
surema	умереть
surilina	саван
Suriname	Суринам
surm	смерть
surmanuhtlus	смертная казнь
surnud	мёртвый
suru-jugapump	инжектор
süsi	уголь
susisema	шипеть
süsivesikud	углеводы
sussid	тапочки
süst	укол (мед.)
süstal	шприц
süsteem	система
süstima	делать укол (кому-л.)
sutenöör	сутенёр
suu	рот
süü	вина (ошибка, проступок)
süüa tahtma	хотеть есть
süüa tegema	готовить (обед)
süüa tegema	готовить (ужин)
süüa tegema	готовить(обед)
suubuma	впадать в ... (о реке)
süüde	зажигание
süüdi mõistma	приговорить
süüdistama	обвинять
süüdistatav	обвиняемый
süüdistus	обвинение
süüdlane	виновник
suudlema	целовать
suudlema	целоваться
suudlus	поцелуй
süüfilis	сифилис
suukorv	намордник
suulagi	нёбо
suunama	направлять
suunatuli	переключатель
suund	направление
suur	большой
suur	крупный (о фирме)
suur algustäht	большая буква
Suur Vanker	Большая Медведица
Suurbritannia	Великобритания
suurendama	увеличивать
suurenema	увеличиваться
suurepärane	великолепный
suurepärane	превосходный
Suurepärane!	Отлично!
Süüria	Сирия
suurmeister	гроссмейстер
suursaadik	посол
suursaatkond	посольство
suursugune	величественный
suurtükiväelane	артиллерист
suurtükk	пушка, орудие
suurus	размер (предмета)
suurvesi	половодье
suusad	ЛЫЖИ
suusakepid	палки (лыжные)
suusataja	лыжник
suusatama	кататься на лыжах
süütama	зажечь (костёр, камин)
süüteküünal	свеча зажигания
süütõend	улика
süütu	невиновный
süütunne	вина (чувство вины)
suvel	летом
suveniir	сувенир
suveniirikauplus	магазин сувениров
suvi	лето
suvine	летний
süžee	сюжет
Šveits	Швейцария
Šveits lanna	швейцарка
šveitsi	швейцарский
šveitslane	швейцарец
sviiter	свитер
tääk	штык
Taani	Дания
taani	датский
taanlane	датчанин
taanlanna	датчанка
tabalukk	навесной замок
tabama	попасть (в цель)
tabamine	точный (попадание)
tabel	таблица
tabel	табличка
tablett	таблетка
tabloo	табло
tädi	тётя
tadžiki	таджикский
Tadžikistan	Таджикистан
tadžikitar	таджичка
tadžikk	таджик
taevas	небо
Taevas, Taevariik	Небо, Царство Небесное
taga	сзади (находиться)
tagaajamine	погоня
tagala	тыл
tagama	гарантировать
taganema	отступать
taganemine	отступление
tagant	сзади (подойти)
tagaotsimine	розыск
tagasi	назад
tagasi	назад (движение)
tagasi	обратно
tagasi andma	отдать (вернуть)
tagasi hoidma	удерживать (~ от чего-л.)
tagasi lükkama	отклонить (просьбу)
tagasi saatma	отправить обратно
tagasi tulema	возвращаться
tagasihoidlik	скромный
tagasihoidlikkus	скромность
tagasikäik	задний ход
tagasikäik	фонарь заднего хода
tagasipöördekoht	разворот
tagastama	вернуть
tagavararatas	запасное колесо
tagaveoga	заднеприводный
tagumik	зад
tagumine	задний
taha jääma	отставать
tahavaatepeegel	зеркало заднего вида
tähendama	означать
tähestik	алфавит
täht	буква
täht	звезда
täht (kirja)	буква
tähtaeg	срок (долгий ~)
tähtis	важный
tähtkuju	созвездие
tahtma	хотеть
tahvel	доска (школьная)
Tai	Таиланд
tai	тайский
Taibei	Тайпей
täidis	начинка
täidlane	полный (толстый)
täiendav	дополнительный
taifuun	тайфун
tailane	таец
tailanna	тайка
taim	растение
taimekaitse	охрана(растений)
taimeõli	масло растительное
taimetoitlane	вегетарианец
taimetoitluslik	вегетарианский
täis	полный (наполненный)
täis puhuma	надувать
täis pumpama	накачивать (шину)
täishäälik	гласный звук
täisnurk	прямой угол
täispuhutav	надувной (~ матрас)
täisveoga	полноприводный
täitma	заполнить (~ анкету)
täitma	заполнить (документ)
täitma	наполнять
Taivan	Тайвань
taivani	тайванский
taivanlane	тайванец
taivanlanna	тайванка
takistus	препятствие
täkk	жеребец
taksikoer	такса
takso	такси
taksoga	на такси
taksojuht	таксист
taksomeeter	счётчик километража
taksopeatus	стоянка такси
taksot välja kutsuma	вызвать такси
taksot võtma	взять такси
taktika	тактика
taktitundetu	нескромный
taldrik	тарелка
talje	талия
taltsutaja	укротитель
taltsutama	приручать
talumees	крестьянин
talunaine	крестьянка
talunik	фермер
talv	зима
talvel	зимой
talveriided	зимняя одежда
talveunes olema	быть в спячке
talvine	зимний
tamm	дуб
täna	сегодня
täna hommikul	сегодня утром
täna õhtul	сегодня вечером
täna päeval	сегодня днём
tänav	улица
tänavalatern	фонарь (уличный)
tänavaliiklus	уличное движение
tangid	клещи
tango	танго
tangud	крупа
tank	танк
tanker	танкер
tankima	заправить (машину)
tankla	автозаправка
tankla	бензозаправка
tankla	бензоколонка
Tansaania	Танзания
tants	танец
tantsija	танцор
tantsijanna	танцовщица
tantsima	танцевать
tänu ...	благодаря ...
tänulik	благодарный
tapeet	обои
tapeeti panema	оклеить обоями
tapetu	убитый (сущ.)
tapma	убивать
tapma	убить
täpne	пунктуальный
täpne	точный
täpselt	точно
täpselt kell kolm	ровно в 3 часа
tara	забор
tara	ограждение
tarakan	таракан
tarbija	потребитель
tariif	тариф
täring	фишка
täringumäng	игра в кости
tark	умный
tarkvara	программное обеспечение
tarnija	поставщик
tarvis olema	требоваться
tarvis olema	требоваться (быть нужным)
tarvitama	употребить
tasane	ровный (о поверхности)
tase	уровень (напр. масла)
tase	уровень(напр. масла)
tasku	карман
tasku-	карманный
taskulamp	фонарь (ручной)
taskunuga	карманный нож
taskurätik	носовой платок
taskuvaras	карманный воришка
Tasmaania	Тасмания
tass	чашка
tasuta	бесплатно
tasuta	бесплатный
tatar	гречиха
tätoveering	татуировка
tavaline	обыкновенный
tavaliselt	обычно
teada saama	узнавать (адрес и т.п.)
teade	сообщение
teadete agentuur	информационное агентство
teadete büroo	справочное бюро
teadetetabloo	информационное табло
teadlane	учёный
teadma	знать (что-л.)
teadus	наука
teaduskond	факультет
teaduslik	научный
teaduslik kraad	учёная степень
teaduslik töö	исследование (научн. труд)
teadvus	сознание (мед.)
teadvust kaotama	упасть в обморок
teatama	объявлять
teatama	сообщать (~ новость)
teater	театр
teatmik	справочник
teave	информация
teavitama	информировать
teavitama	уведомить
teder	тетерев
tee	дорога
tee	путь
tee (jook)	чай
teejuht	путеводитель
teekaaslane	попутчик
teekann	чайник (для заварки)
teelusikas	чайная ложка
teema	тема
teener	слуга
teenija	служанка
teenima	служить (рел.)
teenus	услуга
teeperv	обочина
teesalong	чайный салон
teesõel	ситечко (для чая)
tegema	делать
tegema	создать
tegusõna	глагол
tegutsema	действовать (поступать)
tegutsev vulkaan	действующий вулкан
tehas	завод
tehing	сделка
teine koht	второе место
teiseks	во-вторых
teisipäev	вторник
teivashüpe	прыжки с шестом
tekk	одеяло
tekk	палуба
teksapüksid	ДЖИНСЫ
tekst	текст
telefon	телефон
telefon heliseb	звонить (о телефоне)
telefon iputka	телефонная будка
telefoniraamat	телефонная книга
telefonitoru	трубка (телефонная)
telereklaam	телереклама
telesaade	телепередача
teleskoop	телескоп
televaataja	телезритель
televiisor	телевизор
televisioon	телевидение
telik	шасси
telk	палатка
tellija	заказчик
tellija	подписчик
tellima	заказать (блюдо)
tellima	заказывать
tellima	заказывать (в ресторане)
tellima	подписаться (на газету)
tellimine	подписка
tellimus	заказ
tellimusavaldus	заявка
tellingud	строительные леса
telliskivi	кирпич
tema	он
tema	она
temperatuur	температура
tempo	темп
tennis	теннис
tennisemängija	теннисист
tenniseväljak	корт
tenniseväljak	теннисный корт
teooria	теория
teoreem	теорема
teos	произведение
teos	сочинение (литер.)
teos	сочинение (муз.)
teras	сталь
teras-	стальной
terav	острый (нож и т.п.)
teraviljad	зерновые растения
teritama	точить
terrass	терраса
territoorium	территория
terve	здоровый
terve	целый (невредимый)
terve	целый (полностью)
terve aasta	целый год
terve kuu	весь месяц
terve kuu	целый месяц
terve ööpäev	круглые сутки
terve päev	весь день
terveks saama	выздоравливать
tervis	здоровье
testament	завещание (документ)
Thames	Темза
tibutama	моросить
tigu	улитка
tihane	синица
tihe	густой (туман)
tihe	плотный (напр. туман)
tihend	прокладка
tihnik	чаща
tiib	крыло
tiibklaver	рояль
tiiger	тигр
tiigrikutsikas	тигрёнок
tiik	пруд
tiitelleht	титульный лист
tiitrid	титры (имена актеров)
tiivad	крылья
tikkima	вышивать
tikkimine	вышивка
tikud	спички
tikutoos	спичечный коробок
tilk	капля
tilkuma	капать
till	укроп
tina	олово
tingimus	условие
tingimus	условие (договора)
tipp	вершина
tipptund	часы пик
tiraaž	тираж (газеты, журнала)
tiraaž	тираж (книги)
tisler	столяр
Tjan-Šan	Тянь-Шань
toatüdruk	горничная
tõde	истина
tõde	правда
tõeline	настоящий (момент)
tõenäoline	вероятный
tõenäoliselt	вероятно
tõend	удостоверение
tõestama	доказывать
tõestus	доказательство
toetama	поддержать (предложение)
tohutu	огромный
toiduained	продукты
toidunõud	посуда
toidupood	бакалея
toimetaja	редактор
tõke	преграда
tõkestama	перегородить (дорогу)
Tokio	Токио
tõkkepuu	шлагбаум
tõlge	перевод
tõlge	перевод (с другого языка)
tõlge	перевод (текст)
tõlk	переводчик
tõlk	переводчик (устный)
tõlkima	переводить
tõlkima	переводить (текст)
tõlkimine	перевод (процесс)
toll	дюйм
toll	таможня
tolliametnik	таможенник
tollilõiv	таможенная пошлина
tolm	ПЫЛЬ
tolmu pühkima	вытирать пыль
tolmuimeja	пылесос
tolmuimejaga koristama	пылесосить
tolmune	пыльный
tomat	помидор
tõmbama	тянуть (верёвку и пр.)
tõmblukk	молния (застежка)
tõmmu	смуглый
tonn	тонна
töö	работа
toodang	продукция
toode	продукт
tööintervjuu	собеседование
töökindel	надёжный (механизм)
töökoht	должность
tool	стул
tööline	рабочий
toon	тон
toonekurg	аист
tööpäev	рабочий день
tööpuudus	безработица
tooraine	сырьё
toores	сырой (не варёный)
tööriietus	рабочая одежда
tööriist	инструмент
tööriist	орудие труда
tööriistad	инструменты
toost	тост
tööstus	промышленность
tööstuslik	промышленный
töötaja	сотрудник
töötama	работать
tõotama	клясться
töötasu	заработная плата
töötasu	зарплата
tootja	производитель
tootma	производить
tootmine	производство (завод и т.п.)
töötu	безработный (сущ.)
tõotus	клятва
topis	чучело
torkama	уколоть (поранить)
torm	буря
torm	буря, шторм
torn	башня
tornaado	торнадо
Toronto	Торонто
torpeedo	торпеда
tort	торт
toru	труба
toru	трубка
toru hargile panema	положить трубку
toru hargilt võtma	снять трубку
torulukksepp	сантехник
tõsiasi	факт
tõsielufilm	документальный фильм
tosin	дюжина
tõsine	серьёзный
tossud	кроссовки
tõstetav värav	подъёмная решётка
tõstma	поднимать
tõstuk	подъёмник
tõug	порода
tõuge	толчок (подземный)
tõuk	гусеница
tõuk	червь (личинка)
tõukama	толкать
tõus	прилив
tõusma	ВЗОЙТИ
tõusurada	взлётная полоса
traav	рысь
traavima	рысью
traditsioon	традиция
trahv	штраф
trahvima	штрафовать
traksid	подтяжки
traktor	трактор
tramm	трамвай
transformeerima	трансформировать
transiit	транзит
transpordikompanii	транспортная компания
trapets	трапеция
trapp	трап
trauma	травма
treener	тренер
treenima	тренировать
treenima	тренировать (кого-л.)
treenima	тренироваться
treening	тренинг
treial	токарь
trellpuur	дрель
trenazöör	тренажёр
trend	тенденция
trenn	тренировка
trepikoda	подъезд
trepp	лестница
treppredel	стремянка
tribüün	трибуна (стадиона)
triikima	гладить (утюгом)
triikimislaud	гладильная доска
triikraud	утюг
trikid	специальные эффекты
trikk	трюк
trikoo	купальник
trio	трио
tripp	вешалка (петля)
trofee	трофей
troll	троллейбус
tromb	смерч
trompet	труба
trükiviga	опечатка
trükk	издание
trumlit keerutama	вращать барабан
trumm	барабан
trümm	трюм
trump	козырь
trupp	труппа
truu	верный
truudus	верность
tsaar	царь
tsaarinna	царица
T-särk	футболка
Tšau-tšau	чау-чау
tsehh	цех
tšello	виолончель
tsellofaan	целлофан
tsement	цемент
tšempion	чемпион
Tšiili	Чили
tšiili	чилийский
tšiilitar	чилийка
tšiillane	чилиец
tsink	цинк
tšintšilja	шиншилла
tsirkus	цирк
tsistern	цистерна
tsiteerima	цитировать
tsiviil-	гражданский
tsivilisatsioon	цивилизация
tsoon	зона
tsükkel	цикл
tsüklon	циклон
tsunami	цунами
tualett	туалет
tuba	комната
tuba kinni panema	бронировать номер
tubakas	табак
tuberkuloos	туберкулёз
tüdruk	девочка
tugev	могущественный
tugev	сильный
tugev	сильный (дождь)
tugitool	кресло
tuharad	ягодицы
tuhatoos	пепельница
tühi	пустой (~ бокал)
tühine	незначительный
tühjaks minema	разрядиться
tühjaks minema	спустить (о колесе)
tühjaks saama	сесть (о батарейке)
tuhk	пепел
tuisk	вьюга
tukk	чёлка
tükk	кусок
tükk	обломок
tükk	штука
tuld kustutama	погасить свет
tulekahju	пожар
tulekustuti	огнетушитель
tulemus	результат
tuletõrjuja	пожарный
tulevane	будущий
tulevik	будущее (сущ.)
tuli	огонь
tuli	шах
tüli	ссора (перебранка)
tulirelv	огнестрельное оружие
tulistama	выстрелить
tulistama	стрелять
tulistamine	стрельба
tülitama	мешать (беспокоить)
tülitsema	ссориться
tulnukas	пришелец
tulp	тюльпан
tulu	доход
tume	тёмный
tumm	немой
tummfilm	немое кино
tund	урок
tund	час
tundma	знать (кого-л.)
tundma	чувствовать(опасность)
tundmatu	неизвестный
tundra	тундра
Tuneesia	Тунис
tuneesia	тунисский
tuneeslane	тунисец
tuneeslanna	туниска
tungraud	домкрат
tünn	бочка
tunnel	тоннель
tunni aja pärast	через час
tunni ajajooksul	в течение часа
tunnimees	часовой (воен.)
tunnistaja	свидетель
tuntud	известный
türann	тиран
turbiin	турбина
turg	рынок
türgi	турецкий
Türgi	Турция
turism	туризм
turist	турист
türkiissinine	бирюзовый
türklane	турок
türklanna	турчанка
turkmeen	туркмен
turkmeeni	туркменский
turkmeenlanna	туркменка
Türkmenistan	Туркменистан
tursk	треска
turuosa	сегмент рынка
turu-uurimine	маркетинг
turvamees	охранник
turvas	торф
turvavöö	ремень безопасности
turvavööd kinni panema	пристегнуть ремень
tušš	тушь
tütar	дочь
tütarlaps	девушка
tuttav	знакомый (сущ.)
tutvustama	познакомить
tuub	тюбик
tüüfus	тиф
tuuleklaas	ветровое стекло
tuulevaikus	штиль
tuuma-	ядерный
tuumarelv	ядерное оружие
tuunikala	тунец
tüüp	тип
tüür	штурвал
tuurakala	осётр
tuurakala	осетрина
tüürimees	штурман
tuvi	голубь
tüvi	ствол (дерева)
tuvila	голубятня
udu	туман
udulaternad	противотуманные фары
udune	туманный
üheaegselt	одновременно
üheinimesetuba	одноместный номер
üheksa	девять
ühendama	объединять
ühendama	подсоединить
ühendama	соединить (по телефону)
ühesugune	одинаковый
ühesuunalisele teele	одностороннее движение
ühine	совместный
ühiskajut	кают-компания
ühiskond	общество
ühiskondlik	общественный
uhke	гордый
uhkus	гордость
uhkust tundma	гордиться
ühtesobiv	совместимый
uhtuja	омыватель
uhtuma	омывать
uim	плавник
uisud	коньки
uisutama	кататься
uisutama	кататься на коньках
ujuja	пловец
ujuma	плавать
ujumine	плавание
ujumismadrats	плавательный матрац
Ukraina	Украина
ukraina	украинский
ukrainlane	украинец
ukrainlanna	украинка
uks	дверь
üks	один
uksed	дверца
uksehing	петля (дверная)
uksehoidja	портье
uksekell	звонок (прибор)
uksekella helin	звонок (звук)
ukselink	ручка (двери)
ukselink	ручка (дверная)
uksematt	коврик
uksesilm	глазок
üksikasi	подробность
üksikasjad	детали (подробности)
üksikasjalik	подробный
üksikasjalikult	подробно
üldriiklik tee	национальная дорога
üle andma	передать (подарок и т.п.)
üle kuulama	допрашивать
üle kuumenema	перегреться
üle tänava minema	переходить (улицу)
üle ujutama	затопить (залить водой)
üle ujutama	разливаться
ülearune	чрезмерный
üleeile	позавчера
ülehelikiiruse	сверхзвуковой
ülehomme	послезавтра
ülejäänud	остальное
ülekäigurada	пешеходный переход
ülekäik	пешеходный переход
ülekuulamine	допрос
ülemaailmne	мировой (всемирный)
ülemus	начальник
üleriided	верхняя одежда
üles kasvatama	выращивать
üles kirjutama	записывать
üles tõusma	вставать (с постели)
üles tõusma	подниматься (утром)
ülesanne	задание (воен.)
ülesanne	задача
ülesõit	переезд
ülesvoolu	вверх по течению
üleujutus	наводнение
üleval	наверху
ulg	вой
ulguma	выть
ulguma	рыдать
ülikond	костюм (мужской)
ülikool	университет
ülikoolilõpetaja	выпускник (вуза)
üliõpilane	студент
üliõpilane	студентка
üllatama	удивлять
üllatav	удивительный
ümber hindama	переоценивать
ümber kirjutama	переписать (файл)
ümber paigutama	передвигать (в другое место)
ümber piirama	окружать
ümber piirama	осаждать
ümber pöörama	перевернуть (напр. камень)
ümber pöörama	разворачиваться
ümber riietuma	переодеваться
ümber tegema	переделывать
ümbermõõt	периметр
ümberpiiramine	окружение
ümberpiiramine	осада
ümberpiiratud	осаждённый
ümberringi	вокруг
umbes	около (~ 10 кг)
umbes kell neli	около 4-х часов
ümbrik	конверт
umbrohi	сорняк
ümbrus	окрестности
umbtänav	тупик
umbusaldus	недоверие
umbusklik	недоверчивый
ümmargune	круглый
ummistuma	засориться
und nägema	видеть сны
undama	гудеть (гудок, поезд)
unenägu	сон (сновидения)
unerohi	снотворное
unerohtu võtma	принять снотворное
unetu	бессонный
unetus	бессонница
ungari	венгерский
Ungari	Венгрия
ungarlane	венгр
ungarlanna	венгерка
uni	сон
uni	сон (состояние)
unine	сонный
unistama	мечтать
universum	мир, вселенная
unts	унция
unustama	забывать
unustama	забыть
uppuma	затонуть (о корабле)
uppuma	тонуть
uppuma	тонуть (о корабле)
uppuma	тонуть (о человеке)
uputama	затоплять
Uraan	Уран
urg	нора
ürgne	первобытный
urisema	рычать
urn	погребальная урна
Uruguai	Уругвай
usaldama	верить (доверять)
usaldama	доверять
usaldav	доверчивый
usaldus	доверие
usaldusväärne	надёжный (партнёр)
usbeki	узбекский
Usbekistan	Узбекистан
usbekitar	узбечка
usbekk	узбек
usk	верование
usklik	верующий (сущ.)
usklikud	верующий (сущ.)
uskuma	верить
üsna lihtne	нетрудный
uss	змея
ussipoeg	змеёныш
ütlema	сказать
uudis	новость
uudishimu	любопытство
uudishimulik	любопытный
uuelt realt	с новой строки
uuesti	заново
Uurali mäed	Уральские горы
uurija	исследователь
uurija	следователь
uurima	изучать
uurima	исследовать
üürima	снимать (~ квартиру)
üürima	снимать (напр. квартиру)
uurimine	исследование (поиск)
uurimine	расследование
uus	новый
Uus Meremaa	Новая Зеландия
Uus Testament	Новый Завет
uusmeremaa	новозеландский
uusmeremaalane	новозеландец
uusmeremaalanna	новозеландка
vaaderpass	уровень (инструмент)
vaal	КИТ
vaalapüügilaev	китобойное судно
vaalapüük	китобой
vääramatu jõud	форс-мажор
vaarao	фараон
vaarikas	малина
vaarikpunane	малиновый
vääris lõhe	сёмга
väärt olema	заслуживать
väärtesemed	драгоценности
väärtuslik	драгоценный (камень)
vaas	ваза
vaataja	зритель
vaatama	глядеть на ...
vaatama	смотреть
vaatama	смотреть (телевизор)
vaateaken	витрина
vaatetorn	вышка (строение)
vaba	свободный
vabadus	свобода
vabalt	свободно
Vabalt!	Вольно!
vabandama	извиняться
vabandus	извинение
vabariik	республика
vabariiklane	республиканец
vabariiklik erakond	республиканская партия
vabastama	освободить (из тюрьмы)
vabastama	освобождать (город)
vabatahtlik	доброволец
vabrik	фабрика
vaene	бедный
vaenlane	враг
vaenulik	враждебный
vaenulik	вражеский
väetama	удобрять
väetis	удобрение (вещество)
vaevalt	вряд ли
väga	очень
vagel	червь
vägi	войско
vägivald	насилие
vagu	борозда
vaheaeg	перерыв
vahekäik	проход (между креслами)
vahekohtunik	рефери
vahel	между
väheldane	небольшой
vahele panema	вставлять
vahele segama	вмешиваться
vahele segama	смешивать
vahelejätmine	пропуск (отсутствие)
vahemaa	отрезок(пути)
vahemaa	расстояние
vahend	СНарЯД (спорт.)
vahend	средство (мед.)
vähendama	сократить (расходы)
vähendama	уменьшать
vaher	клён
vaherahu	перемирие
vahetama	заменить (игрока)
vahetama	менять
vahetund	перемена
vahetus	замена
vahetus	обмен
vähk	рак
vaht	пена
vahvlid	вафли
vai	свая
vaidlema	спорить
vaidlus	спор
vaidlus	спор (дебаты)
väike	маленький
väike sõrm	мизинец
väikebuss	микроавтобус
väikelaps	малыш
vaikima	молчать
vaikima	промолчать
vaikimine	молчание
vaikne	тихий (негромкий)
vaikne	тихий (спокойный)
Vaikne ookean	Тихий океан
vaikus	тишина
vaim	ДУХ
väimees	зять
vaimuhaige	сумасшедшая (сущ.)
vaimuhaige	сумасшедший (сущ.)
vaimulik	священник
vaimustuma	восхищаться
väin	пролив
vaip	ковёр
vait jääma	замолчать
väitekiri	диссертация
vajadus	потребность
